channel,mouse.id,tissue,subtissue,mouse.sex
10X_P4_0,3-M-8,Tongue,,M
10X_P4_1,3-M-9,Tongue,,M
10X_P4_2,3-M-8/9,Liver,hepatocytes,M
10X_P4_3,3-M-8,Bladder,,M
10X_P4_4,3-M-9,Bladder,,M
10X_P4_5,3-M-8,Kidney,,M
10X_P4_6,3-M-9,Kidney,,M
10X_P4_7,3-M-8,Spleen,,M
10X_P7_0,3-F-56,Liver,,F
10X_P7_1,3-F-57,Liver,,F
10X_P7_2,3-F-56,Marrow,,F
10X_P7_3,3-F-57,Marrow,,F
10X_P7_4,3-F-56,Heart_and_Aorta,,F
10X_P7_5,3-F-57,Kidney,,F
10X_P7_6,3-F-56,Spleen,,F
10X_P7_7,3-F-56,Bladder,,F
10X_P7_8,3-F-56,Lung,,F
10X_P7_9,3-F-57,Lung,,F
10X_P7_10,3-F-56,Tongue,,F
10X_P7_11,3-F-56,Thymus,,F
10X_P7_12,3-F-56,Mammary_Gland,,F
10X_P7_13,3-F-57,Mammary_Gland,,F
10X_P7_14,3-F-56,Limb_Muscle,,F
10X_P7_15,3-F-57,Limb_Muscle,,F
10X_P8_12,3-M-5/6,Lung,immune-endo-depleted,M
10X_P8_13,3-M-7/8,Lung,immune-endo-depleted,M
10X_P8_14,3-M-5/6,Trachea,,M
10X_P8_15,3-M-7/8,Trachea,,M
